.NET Skill Assessment — Resource and Assessor,,,,,,,,,,,,,
Resource:    |   Employee ID:    |   Assessment Role:    |   Assessor: ,,,,,,,,,,,,,
,,,,,,,,,,,,,
ID,Area,Skill Item,What a clear Level-3 answer should demonstrate,Expected: Software Engineer,Expected: Technical Analyst,Expected: Tech Lead / Architect,Expected for Selected Role,Self Rating,Resource Answer / Project Example,Assessed Rating,Assessor Comments,Gap,Assessment Result
D01,D1,"C# type system: value vs reference types, boxing, structs vs classes",Names a place boxing or struct choice affected performance,3,3,3,,,,,,,SELECT ROLE
D02,D1,"LINQ internals: deferred execution, IEnumerable vs IQueryable",Explains a bug caused by deferred execution or multiple enumeration,3,3,3,,,,,,,SELECT ROLE
D03,D1,Generics and variance (in/out),"Explains covariance with a practical example, not just definitions",2,3,3,,,,,,,SELECT ROLE
D04,D1,Exception handling strategy and custom exceptions,Defends their project's exception strategy incl. global handling,2,3,3,,,,,,,SELECT ROLE
D05,D1,"CLR memory and resource management: allocations, GC generations, LOH, IDisposable, finalizers and memory-pressure diagnosis","Explains a real memory or resource-pressure issue, identifies whether it was caused by allocations, retained references or undisposed resources, and describes how it was verified.",2,3,4,,,,,,,SELECT ROLE
D06,D1,"Async/await: state machine, sync-over-async, cancellation, timeouts and exception propagation","Explains a real async issue involving blocking, cancellation, timeout, parallel calls or exception handling, and how it was fixed",2,3,4,,,,,,,SELECT ROLE
D07,D1,"Threading and TPL: Task vs Thread, parallelism, lock/Interlocked",Picks the right construct for 3 scenario types with reasons,2,3,3,,,,,,,SELECT ROLE
D08,D1,"Producer/consumer patterns: concurrent collections, System.Threading.Channels and backpressure","Explains a producer/consumer flow they built, why they chose a concurrent collection or Channel, and how overload, completion and failure were handled",1,2,3,,,,,,,SELECT ROLE
D09,D1,"Delegates, events and expression trees",Gives a practical delegate or event example and explains how an expression tree used by IQueryable differs from an executable delegate,2,3,3,,,,,,,SELECT ROLE
D10,D1,Reflection and attribute-based framework behaviour,Explains how attributes are discovered and acted upon at runtime in a framework or feature they used,1,2,3,,,,,,,SELECT ROLE
D11,D1,"Performance-minded C#: Span<T>/Memory<T>, allocations, benchmarking",Has measured with BenchmarkDotNet or similar on a real hot path,1,2,3,,,,,,,SELECT ROLE
D12,D1,Platform evolution: .NET Framework versus modern .NET and migration realities,"Explains what a .NET Framework or older .NET migration to a supported modern .NET version involves, including dependencies, configuration, hosting, authentication and deployment",1,2,3,,,,,,,SELECT ROLE
D13,D1,"Diagnostics: dotnet-trace/counters, dump analysis",Has diagnosed a real issue with runtime diagnostics tooling,1,2,3,,,,,,,SELECT ROLE
D14,D1,"NuGet and dependency management: versioning, conflicts, transitive pins",Has resolved a dependency conflict and explains the mechanism,2,3,3,,,,,,,SELECT ROLE
D15,D2,"ASP.NET Core pipeline: middleware order, filters, endpoint routing",Traces a request end to end; explains why middleware order matters with a case,2,3,4,,,,,,,SELECT ROLE
D16,D2,Built-in DI: lifetimes and the captive-dependency trap,Explains a scoped-in-singleton bug and how lifetimes should be chosen,2,3,4,,,,,,,SELECT ROLE
D17,D2,"Web APIs: model binding, validation, versioning, ProblemDetails",Shows their error-contract design and how validation failures reach clients,3,3,4,,,,,,,SELECT ROLE
D18,D2,"EF Core: change tracking, loading strategies, N+1, migrations",Has found and fixed an N+1; explains tracking vs no-tracking choices,2,3,3,,,,,,,SELECT ROLE
D19,D2,"Auth: ASP.NET Identity, JWT bearer, OAuth2/OIDC flows",Draws their auth flow end to end incl. token validation and expiry,1,2,3,,,,,,,SELECT ROLE
D20,D2,Configuration and options pattern; secrets management,Explains IOptions usage and where secrets never appear,2,3,3,,,,,,,SELECT ROLE
